Perc_Change_1d,Open_Prev_1d,High_Prev_1d,Low_Prev_1d,Close_Prev_1d,Volume_Prev_1d,100_mov_avg
0.009191176470588204,370.56,373.39,368.78,371.91,,321.52559999999977
-0.009032258064516166,376.07,378.87,374.77,375.36,,322.2445999999998
-0.005079433697179281,375.55,377.06,371.68,372.0,,322.90149999999977
0.005000268831657652,370.6,371.54,364.98,370.12,,323.6059999999998
0.014283064366536785,369.69,373.12,367.86,371.98,,324.4249999999998
-0.08705170675500512,371.6,377.79,369.76,377.37,,324.9277999999998
-0.019380414036117944,377.39,379.33,337.66,347.15,,325.3950999999998
-0.004572271386430712,352.44,353.0,335.66,340.55,,325.8836999999998
0.0024423976694229,340.16,341.97,334.52,339.0,,326.42999999999984
-0.004492920694037958,335.67,343.32,335.66,339.83,,326.92299999999983
0.0006793879600638571,343.06,343.16,337.3,338.31,,327.45919999999984
-0.003854821492112476,339.66,340.66,336.42,338.54,,327.93169999999986
0.00756304993967215,337.91,341.17,335.26,337.24,,328.4414999999998
0.01059834036977722,339.59,340.16,337.16,339.81,,328.97669999999977
0.0004947325534020602,339.41,345.1,339.02,343.45,,329.57319999999976
-0.007269742627660252,347.05,347.43,343.34,343.62,,330.16189999999983
-0.0018207447433337383,341.91,343.09,337.44,341.14,,330.76449999999977
-0.021876781802358622,342.4,342.91,338.44,340.52,,331.3042999999998
-0.02274261862378008,337.16,338.78,332.91,333.23,,331.74279999999976
0.016184552207258934,334.76,335.41,325.29,325.82,,332.20319999999975
0.004329264626300276,327.0,333.84,324.82,331.18,,332.6246999999998
-0.010388821385176234,331.54,334.57,330.1,332.62,,333.03199999999975
-0.009970854425525387,331.17,333.47,328.79,329.2,,333.4682999999997
-0.008165537719216808,330.0,330.76,324.92,325.95,,333.8468999999997
-0.00012373557707186087,324.68,329.67,321.63,323.31,,334.2788999999997
0.03145878898642778,322.67,326.18,317.68,323.27,,334.7959999999997
0.0026296130285372644,327.52,334.13,327.44,333.77,,335.2988999999997
-0.006163559831629448,334.42,338.66,331.95,334.65,,335.80619999999965
0.003147010340176696,334.16,334.57,329.87,332.6,,336.2452999999997
-0.010325823643410757,334.65,334.66,332.72,333.65,,336.64829999999967
0.01426780490716964,332.89,333.17,329.18,330.24,,337.0622999999996
0.018946382031684757,329.75,337.16,328.67,335.02,,337.50059999999957
0.01189236111111115,333.67,342.11,331.61,341.49,,338.02959999999956
0.009287925696594292,343.55,346.6,340.66,345.6,,338.5908999999995
-0.004492052522460269,345.31,349.26,342.5,348.84,,339.15809999999954
-0.006112929860648251,350.77,352.59,346.71,347.28,,339.75669999999957
-0.004656984020723645,347.15,347.41,342.51,345.17,,340.3428999999996
0.004779560859741712,345.73,346.9,340.82,343.57,,340.9153999999996
-0.010124063670412091,343.45,347.46,341.91,345.22,,341.4612999999996
0.0017816981628063604,347.15,348.09,340.87,341.76,,342.0041999999996
0.01643253181648416,342.35,345.48,341.55,342.37,,342.5841999999996
0.0009758057572540591,344.66,350.61,343.52,348.09,,343.1061999999996
0.007321937321937303,349.27,351.4,346.39,348.43,,343.5651999999996
-0.0010552434189886905,357.6,357.88,349.42,351.0,,343.9969999999996
0.026108935366497176,349.24,353.56,348.87,350.63,,344.56249999999955
0.00038870533359259017,352.4,368.77,351.66,360.03,,345.12729999999954
-0.0013344824710167593,357.94,364.19,357.17,360.17,,345.6604999999995
0.0031317554459287054,359.99,361.14,357.98,359.69,,346.0970999999995
-0.009399653108040099,361.27,361.96,358.13,360.82,,346.5133999999995
-0.008634311512415357,356.63,359.05,354.9,357.46,,346.89569999999947
-0.0009037505648440838,356.9,357.23,353.38,354.4,,347.27629999999954
-0.003656566229201405,353.68,356.08,350.85,354.08,,347.6635999999996
-0.008980408980409105,353.22,354.07,348.96,352.79,,347.9566999999996
0.010443199184921034,350.49,353.1,349.65,349.65,,348.2791999999996
0.021923268560039906,349.65,354.93,347.65,353.34,,348.69229999999965
0.0005809610756080349,359.35,363.14,357.92,361.26,,349.0990999999997
0.019396668656068518,362.1,365.6,360.0,361.47,,349.5767999999997
-0.00438680144955182,364.31,370.36,363.48,368.62,,350.0400999999997
-0.0019930108114011636,367.36,369.32,364.92,367.01,,350.4061999999997
0.006536656811955911,367.4,367.78,361.85,366.28,,350.75309999999973
0.004536004536004555,365.77,368.81,363.94,368.69,,351.12239999999974
-0.002029110978843136,371.04,372.13,366.38,370.37,,351.4575999999998
-0.023141227924486557,370.63,370.84,367.78,369.62,,351.6878999999998
0.0023198011599006676,368.13,370.73,360.81,361.26,,351.93459999999976
-0.013604299630500541,359.31,367.13,355.69,362.1,,352.1627999999998
-0.0054601745004221715,360.84,361.81,356.48,357.24,,352.3332999999998
-0.009661835748792367,358.5,359.46,355.15,355.3,,352.4716999999998
-0.0023356499943032734,354.82,356.03,350.31,351.9,,352.5926999999998
0.052108645175225475,351.98,352.32,347.41,351.08,,352.9536999999998
0.016359483720189156,367.63,374.13,367.53,370.38,,353.3361999999998
-0.00021250597673070428,370.25,378.04,369.88,376.54,,353.66419999999977
-0.0039201045361208844,375.01,378.86,374.75,376.46,,354.00909999999976
0.003904797322424615,375.5,377.42,373.57,374.99,,354.35169999999977
0.00021246082753503194,373.0,378.1,372.9,376.46,,354.7152999999998
0.002463771955387201,376.49,380.09,376.08,376.54,,355.0897999999998
0.025632421270005035,374.88,378.43,374.75,377.47,,355.47029999999984
-0.021813098409516476,378.7,387.9,378.7,387.4,,355.7343999999998
0.008784543386755245,383.46,384.85,378.76,379.13,,356.0589999999998
