Perc_Change_1d,Open_Prev_1d,High_Prev_1d,Low_Prev_1d,Close_Prev_1d,Volume_Prev_1d,100_mov_avg
-0.0011735558742991708,77.14,77.36,76.45,76.78,55507676,76.68190000000001
-0.00013041210224296954,76.9,76.99,76.32,76.69,50141063,76.69620000000002
0.009046265184802128,77.03,77.26,76.56,76.68,42167188,76.71940000000001
0.0016772029415560528,76.82,77.41,76.68,77.38,50189685,76.75030000000001
-0.007015720410549646,77.48,77.64,77.18,77.51,45104871,76.78790000000002
-0.01316309069369488,77.34,77.5,76.81,76.97,40648111,76.80390000000003
-0.015913345814388843,77.12,77.14,75.8,75.97,68812485,76.81020000000002
0.0,75.43,75.84,74.56,74.78,72462530,76.81510000000002
0.012935586061246092,75.03,75.16,74.1,74.78,60971883,76.82890000000002
-0.013105108317732067,74.66,75.78,74.57,75.76,51542722,76.82220000000002
-0.007409403206250803,75.81,76.03,74.74,74.78,59912818,76.81450000000001
0.004025224741714708,74.14,74.69,73.88,74.23,67975012,76.81890000000001
-0.007298283551831414,74.56,74.59,73.89,74.53,51445177,76.81660000000001
0.002023199352576284,74.32,74.52,73.05,73.99,66622577,76.82230000000001
0.011334844645952719,74.01,74.44,73.45,74.14,53732994,76.82770000000001
0.0117290458618872,74.29,75.39,74.17,74.99,71106721,76.84390000000002
0.0010531858873090876,75.05,76.02,74.85,75.88,45668931,76.85530000000001
-0.013340448239060833,75.47,75.98,75.21,75.96,50664453,76.84290000000001
0.07582295647885595,75.58,75.88,74.92,74.96,98735259,76.87410000000001
0.0073430424672621996,81.17,81.43,80.1,81.11,189978082,76.89680000000003
0.03723341581241912,80.65,81.71,80.57,81.71,97568814,76.95800000000003
-0.0029543843063105646,81.83,85.11,81.79,84.87,167371680,76.99520000000003
-0.0037959667852907166,84.82,85.14,84.22,84.62,84344673,77.03110000000002
0.002366863905325477,84.66,85.63,84.26,84.3,114220883,77.06480000000002
0.0017720023626698839,84.57,84.97,83.77,84.5,61052418,77.11130000000001
0.01397786837507267,84.62,84.89,84.24,84.65,47878572,77.16060000000002
-0.010951483749411123,84.31,85.86,84.29,85.85,71766758,77.20190000000002
-0.003545261167572644,85.97,86.34,84.92,84.92,93641373,77.24620000000003
-0.007380952380952435,85.04,85.33,83.96,84.62,70715988,77.28540000000002
-0.004184100418409974,84.04,84.92,83.77,84.0,57574363,77.32990000000002
0.01228008029283259,83.51,83.75,82.9,83.65,72899498,77.38040000000002
0.0015326573921244455,83.93,84.81,83.91,84.69,53324677,77.43580000000001
0.00023573785950035633,84.57,84.93,84.39,84.82,39934594,77.49740000000001
-0.008559201141226805,84.63,85.34,84.53,84.84,41600846,77.56080000000001
0.014526710402999002,84.96,85.23,84.01,84.12,57711731,77.63010000000001
0.01169387518814409,84.09,85.36,83.63,85.36,69091834,77.67940000000002
0.000231508276420836,85.41,86.76,85.33,86.37,79439024,77.73230000000001
0.002655275917801939,86.36,86.63,85.82,86.39,58708986,77.7929
0.0014985590778097458,86.26,86.67,86.01,86.62,49249914,77.86030000000001
0.011170637182263809,86.66,87.12,86.3,86.75,50218945,77.9454
0.018460505705974396,86.75,87.82,86.64,87.73,58052491,78.0377
-0.002692393986986705,87.98,89.41,87.95,89.38,87216605,78.1389
0.01795747493665303,89.43,89.98,89.11,89.14,78921885,78.27380000000001
-0.003759814220944257,89.69,90.98,89.68,90.77,94118633,78.40110000000001
-0.006903462866050602,91.14,92.02,89.84,90.43,141005137,78.52770000000002
0.013943785682916075,90.57,90.69,88.93,89.81,92337903,78.66210000000002
0.011289622231871538,89.78,91.25,89.75,91.08,73231620,78.81680000000001
0.0038927335640138346,91.06,92.56,90.87,92.12,83870521,78.98030000000001
-0.0028193450444589582,92.31,92.77,91.8,92.48,75951141,79.13720000000002
0.015795090715048067,92.84,93.04,92.07,92.22,87620911,79.29360000000001
0.005835543766578219,92.7,93.88,91.75,93.7,75414804,79.43990000000002
-0.0041551246537396185,94.73,95.05,93.57,94.25,62777042,79.58670000000001
-0.017011593888828617,94.13,94.76,93.47,93.86,45681114,79.73720000000002
-0.01106485539000882,94.04,94.12,91.9,92.29,54748791,79.86560000000001
0.009978308026030386,92.2,92.44,90.88,91.28,54525280,79.99970000000002
-0.0013032145960035245,91.51,92.75,91.45,92.2,35561270,80.12600000000002
0.001084834020394972,92.31,92.7,91.8,92.08,29726347,80.26770000000002
-0.0034835619420858633,92.27,92.29,91.35,92.18,33514108,80.3999
-0.01044989550104502,92.29,92.3,91.34,91.86,35527686,80.5854
-0.0008807662666519685,91.85,92.55,90.9,90.91,100898066,80.7783
-0.006092157731501962,91.32,91.62,90.6,90.83,43694391,80.96710000000002
0.0008853474988932968,90.75,91.74,90.19,90.28,39036087,81.1556
0.005940594059406009,90.21,90.7,89.65,90.36,36868541,81.34810000000002
0.011741682974559667,90.37,91.05,89.8,90.9,32629359,81.5411
0.010222748305175968,90.82,92.0,90.77,91.98,64028803,81.73810000000002
0.006308810949529398,92.1,93.72,92.09,92.93,49589028,81.94110000000002
-0.0004278990158321784,93.52,94.07,93.13,93.52,38223477,82.13350000000003
0.005849197064766534,93.86,94.06,93.09,93.48,28465073,82.31810000000003
0.020214650411586932,93.67,94.1,93.2,94.03,22891753,82.51210000000003
-0.006502359727320447,94.14,95.99,94.1,95.97,56467939,82.70000000000003
0.0004193311667890371,96.27,96.8,93.92,95.35,65221678,82.87610000000002
-0.0036826599326598725,95.44,95.95,94.76,95.39,36436440,83.04940000000005
0.0018903591682418884,93.76,95.55,93.52,95.04,39685552,83.22160000000004
